ANNEE,CPAYS,PAYS,NB_PERS_SSN
2016,100,Inde,195900000.0
2013,101,Indonésie,19100000.0
2016,101,Indonésie,20200000.0
2013,102,Iran (République islamique d'),4200000.0
2016,102,Iran (République islamique d'),4000000.0
2013,103,Iraq,9300000.0
2016,103,Iraq,10300000.0
2013,104,Irlande,0.0
2016,104,Irlande,0.0
2013,99,Islande,0.0
2016,99,Islande,0.0
2013,105,Israël,0.0
2016,105,Israël,0.0
2013,106,Italie,0.0
2016,106,Italie,0.0
2013,109,Jamaïque,300000.0
2016,109,Jamaïque,300000.0
2013,110,Japon,0.0
2016,110,Japon,0.0
2013,112,Jordanie,900000.0
2016,112,Jordanie,1300000.0
2013,108,Kazakhstan,0.0
2016,108,Kazakhstan,0.0
2013,114,Kenya,9300000.0
2016,114,Kenya,11700000.0
2013,113,Kirghizistan,400000.0
2016,113,Kirghizistan,400000.0
2013,83,Kiribati,0.0
2016,83,Kiribati,0.0
2013,118,Koweït,0.0
2016,118,Koweït,0.0
2013,122,Lesotho,300000.0
2016,122,Lesotho,300000.0
2013,119,Lettonie,0.0
2016,119,Lettonie,0.0
2013,154,l'ex-République yougoslave de Macédoine,0.0
2016,154,l'ex-République yougoslave de Macédoine,0.0
2013,121,Liban,500000.0
2016,121,Liban,700000.0
2013,123,Libéria,1600000.0
2016,123,Libéria,1800000.0
2013,124,Libye,0.0
2016,124,Libye,0.0
2013,126,Lituanie,0.0
2016,126,Lituanie,0.0
2013,256,Luxembourg,0.0
2016,256,Luxembourg,0.0
2013,129,Madagascar,8199999.999999999
2016,129,Madagascar,10700000.0
2013,131,Malaisie,1000000.0
2016,131,Malaisie,900000.0
2013,130,Malawi,3700000.0
2016,130,Malawi,4800000.0
2013,132,Maldives,0.0
2016,132,Maldives,0.0
2013,133,Mali,1000000.0
2016,133,Mali,1100000.0
2013,134,Malte,0.0
2016,134,Malte,0.0
2013,143,Maroc,1400000.0
2016,143,Maroc,1400000.0
2013,137,Maurice,0.0
2016,137,Maurice,0.0
2013,136,Mauritanie,300000.0
2016,136,Mauritanie,500000.0
2013,138,Mexique,5400000.0
2016,138,Mexique,4800000.0
2013,145,Micronésie (États fédérés de),0.0
2016,145,Micronésie (États fédérés de),0.0
2013,141,Mongolie,500000.0
2016,141,Mongolie,600000.0
2013,273,Monténégro,0.0
2016,273,Monténégro,0.0
2013,144,Mozambique,7700000.0
2016,144,Mozambique,8800000.0
2013,28,Myanmar,6500000.0
2016,28,Myanmar,5600000.0
2013,147,Namibie,700000.0
2016,147,Namibie,600000.0
2013,148,Nauru,0.0
2016,148,Nauru,0.0
2013,149,Népal,2600000.0
2016,149,Népal,2800000.0
2013,157,Nicaragua,1100000.0
2016,157,Nicaragua,1000000.0
2013,158,Niger,1900000.0
2016,158,Niger,3000000.0
2013,159,Nigéria,12200000.0
2016,159,Nigéria,21500000.0
2013,160,Nioué,0.0
2016,160,Nioué,0.0
2013,162,Norvège,0.0
2016,162,Norvège,0.0
2013,153,Nouvelle-Calédonie,0.0
2016,153,Nouvelle-Calédonie,0.0
2013,156,Nouvelle-Zélande,0.0
2016,156,Nouvelle-Zélande,0.0
2013,221,Oman,200000.0
2016,221,Oman,200000.0
2013,226,Ouganda,12600000.0
2016,226,Ouganda,17200000.0
2013,235,Ouzbékistan,2200000.0
2016,235,Ouzbékistan,2300000.0
2013,165,Pakistan,38400000.0
2016,165,Pakistan,39500000.0
2013,180,Palaos,0.0
2016,180,Palaos,0.0
2013,166,Panama,400000.0
2016,166,Panama,400000.0
2013,168,Papouasie-Nouvelle-Guinée,0.0
2016,168,Papouasie-Nouvelle-Guinée,0.0
2013,169,Paraguay,800000.0
2016,169,Paraguay,800000.0
2013,150,Pays-Bas,0.0
2016,150,Pays-Bas,0.0
2013,170,Pérou,2800000.0
2016,170,Pérou,2800000.0
2013,171,Philippines,14000000.0
2016,171,Philippines,14200000.0
2013,173,Pologne,0.0
2016,173,Pologne,0.0
2013,70,Polynésie française,0.0
2016,70,Polynésie française,0.0
2013,177,Porto Rico,0.0
2016,177,Porto Rico,0.0
2013,174,Portugal,0.0
2016,174,Portugal,0.0
2013,179,Qatar,0.0
2016,179,Qatar,0.0
2013,212,République arabe syrienne,0.0
2016,212,République arabe syrienne,0.0
2013,37,République centrafricaine,2100000.0
2016,37,République centrafricaine,2800000.0
2013,117,République de Corée,0.0
2016,117,République de Corée,0.0
2013,146,République de Moldova,0.0
2016,146,République de Moldova,0.0
2013,250,République démocratique du Congo,0.0
2016,250,République démocratique du Congo,0.0
2013,120,République démocratique populaire lao,1200000.0
2016,120,République démocratique populaire lao,1100000.0
2013,56,République dominicaine,1300000.0
2016,56,République dominicaine,1100000.0
2013,116,République populaire démocratique de Corée,10400000.0
2016,116,République populaire démocratique de Corée,11000000.0
2013,215,République-Unie de Tanzanie,16500000.0
2016,215,République-Unie de Tanzanie,17800000.0
2013,183,Roumanie,0.0
2016,183,Roumanie,0.0
2013,229,Royaume-Uni,0.0
2016,229,Royaume-Uni,0.0
2013,184,Rwanda,3500000.0
2016,184,Rwanda,4300000.0
2013,189,Sainte-Lucie,0.0
2016,189,Sainte-Lucie,0.0
2013,188,Saint-Kitts-et-Nevis,0.0
2016,188,Saint-Kitts-et-Nevis,0.0
2013,191,Saint-Vincent-et-les Grenadines,0.0
2016,191,Saint-Vincent-et-les Grenadines,0.0
2013,244,Samoa,0.0
2016,244,Samoa,0.0
2013,5,Samoa américaines,0.0
2016,5,Samoa américaines,0.0
2013,193,Sao Tomé-et-Principe,0.0
2016,193,Sao Tomé-et-Principe,0.0
2013,195,Sénégal,1800000.0
2016,195,Sénégal,1700000.0
2013,272,Serbie,500000.0
2016,272,Serbie,500000.0
2013,196,Seychelles,0.0
2016,196,Seychelles,0.0
2013,197,Sierra Leone,1700000.0
2016,197,Sierra Leone,1900000.0
2013,200,Singapour,0.0
2016,200,Singapour,0.0
2013,199,Slovaquie,200000.0
2016,199,Slovaquie,100000.0
2013,198,Slovénie,0.0
2016,198,Slovénie,0.0
2013,201,Somalie,0.0
2016,201,Somalie,0.0
2013,276,Soudan,9300000.0
2016,276,Soudan,10000000.0
2013,277,Soudan du Sud,0.0
2016,277,Soudan du Sud,0.0
2013,38,Sri Lanka,2400000.0
2016,38,Sri Lanka,2300000.0
2013,210,Suède,0.0
2016,210,Suède,0.0
2013,211,Suisse,0.0
2016,211,Suisse,0.0
2013,207,Suriname,0.0
2016,207,Suriname,0.0
2013,208,Tadjikistan,0.0
2016,208,Tadjikistan,0.0
2013,39,Tchad,4900000.0
2016,39,Tchad,5700000.0
2013,167,Tchéquie (la),0.0
2016,167,Tchéquie (la),0.0
2013,299,Territoire palestinien occupé,0.0
2016,299,Territoire palestinien occupé,0.0
2013,216,Thaïlande,6100000.0
2016,216,Thaïlande,6200000.0
2013,176,Timor-Leste,300000.0
2016,176,Timor-Leste,300000.0
2013,217,Togo,1300000.0
2016,217,Togo,1200000.0
2013,218,Tokélaou,0.0
2016,218,Tokélaou,0.0
2013,219,Tonga,0.0
2016,219,Tonga,0.0
2013,220,Trinité-et-Tobago,0.0
2016,220,Trinité-et-Tobago,0.0
2013,222,Tunisie,500000.0
2016,222,Tunisie,600000.0
2013,213,Turkménistan,300000.0
2016,213,Turkménistan,300000.0
2013,223,Turquie,0.0
2016,223,Turquie,0.0
2013,227,Tuvalu,0.0
2016,227,Tuvalu,0.0
2013,230,Ukraine,0.0
2016,230,Ukraine,1500000.0
2013,234,Uruguay,0.0
2016,234,Uruguay,0.0
2013,155,Vanuatu,0.0
2016,155,Vanuatu,0.0
2013,236,Venezuela (République bolivarienne du),1800000.0
2016,236,Venezuela (République bolivarienne du),3700000.0
2013,237,Viet Nam,11100000.0
2016,237,Viet Nam,10200000.0
2013,249,Yémen,7100000.0
2016,249,Yémen,9500000.0
2013,251,Zambie,7000000.0
2016,251,Zambie,7400000.0
2013,181,Zimbabwe,6700000.0
2016,181,Zimbabwe,7500000.0
